tri_facility.TRI_FACILITY_ID,tri_facility.FACILITY_NAME,tri_facility.STREET_ADDRESS,tri_facility.CITY_NAME,tri_facility.COUNTY_NAME,tri_facility.STATE_ABBR,tri_facility.ZIP_CODE,tri_facility.PREF_LATITUDE,tri_facility.PREF_LONGITUDE
53092PRMDG5201D,PROMO EDGE MEQUON,5201 DONGES BAY RD,MEQUON,OZAUKEE,WI,53092,,
53012LMNMNW60N1,ALUMINUM INDUSTRIES CORP,W60 N171 CARDINAL AVE,CEDARBURG,OZAUKEE,WI,53012,43.281944,87.985
43040WSTRC809CO,WESTRECO INC,809 COLLINS AVE,MARYSVILLE,UNION,OH,430404002,40.23,83.3725
76106WSTRN5050M,WESTRONICS INC,5050 MARK IV PKY,FORT WORTH,TARRANT,TX,76106,32.835833,97.318056
19127RCHRD42022,RICHARDSAPEX INC,4202-24 MAIN ST,PHILADELPHIA,PHILADELPHIA,PA,19127,,
54115CLNNG1997A,CLEANING SYSTEMS INC,1997 AMERICAN BLVD,DE PERE,BROWN,WI,54115,,
73446CNTRC300IN,CM TRAILERS,200 COUNTY RD,MADILL,MARSHALL,OK,73446,,
85233FBRFB636WC,"FIBER-FAB,INC.",636 W COMMERCE AVE,GILBERT,MARICOPA,AZ,85233,,
31750RQPCR381BE,EATON CORP,381 BENJAMIN HILL DR E,FITZGERALD,BEN HILL,GA,31750,,
48471NMTCS370ES,ASCO-NUMATICS,370 E SANILAC,SANDUSKY,SANILAC,MI,48471,,
47882MRMGNHWY54,MEROM GENERATING STATION,5500 W OLD HWY 54,SULLIVAN,SULLIVAN,IN,47882,,
47567FRNKR6825N,FRANK E RATTS GENERATING STAT ION,6825 N BLACKBURN RD,PETERSBURG,PIKE,IN,47567,,
18974HLLCM935ME,SP INDUSTRIES HULL CO DIV,935 MEARNS RD,WARMINSTER,BUCKS,PA,18974,,
01151HTBTH107FR,HEATBATH CORP,107 FRONT ST,INDIAN ORCHARD,HAMPDEN,MA,1151,42.161111,72.504167
45506HTTRT1807W,HEAT TREATING INC.,1807 W PLEASANT ST,SPRINGFIELD,CLARK,OH,45506,39.920556,83.840278
49423NFRMC942BR,UNIFORM COLOR CO,942 BROOKS AVE,HOLLAND,ALLEGAN,MI,49423,,
72370SCLFD710NO,CREATIVE FOODS LLC,710 N PEARL ST,OSCEOLA,MISSISSIPPI,AR,72370,,
62204MRTNN4200S,MARTIN INDUSTRIES INC,4251 ST CLAIR AVE,WASHINGTON PARK,ST CLAIR,IL,62204,,
46304SDNPS1100N,US NATL PARK SERVICE INDIANA DUNES NATL LAKESHORE,1100 N MINERAL SPRINGS RD,PORTER,PORTER,IN,46304,,
54020SSCTN807PR,S & S COATINGS INC PLANT 2,807 PROSPECT AVE,OSCEOLA,POLK,WI,54020,,
29853DMRLCINDUS,DIXIE-NARCO,3330 CRANE WAY,WILLISTON,BARNWELL,SC,29853,33.401111,81.416667
42101TRD00350SC,SRGGI-BOWLING GREEN,350 SCOTTY'S WAY,BOWLING GREEN,WARREN,KY,42101,,
43543WNZLR129WA,WINZELER STAMPING CO PLANT 1,129 WABASH AVE,MONTPELIER,WILLIAMS,OH,43543,41.618611,84.608056
63104RHNPL140LA,RHODIA INC,140 LAFAYETTE AVE,SAINT LOUIS,ST LOUIS (CITY),MO,63104,38.607376,90.196011
53221HWRDP725WH,HOWARD PURIFICATION PLANT,3929 S 6TH ST,MILWAUKEE,MILWAUKEE,WI,53221,,
02914FDXXX977WA,EFD INC,977 WATERMAN AVE,EAST PROVIDENCE,PROVIDENCE,RI,2914,,
95020SCNTF8100C,SCIENTIFIC GAMES INTL,8100 CAMINO ARROYO DR,GILROY,SANTA CLARA,CA,95020,37.020833,121.55
27021THHST530WE,HASTINGS CO,530 WEST KING ST  PO BOX 445,KING,STOKES,NC,27021,36.3495,80.3587
48809HSTNG500RE,VIATEC INC,500 REED ST,BELDING,IONIA,MI,48809,43.108333,85.216667
49058HSTNG325NO,HASTINGS MANUFACTURING CO,325 N HANOVER ST,HASTINGS,BARRY,MI,49058,42.651389,85.281944
35476HNNST1701B,HANNA STEEL CORP,1701 BOONE BLVD,NORTHPORT,TUSCALOOSA,AL,35476,,
68902HSTNG3MILE,HASTINGS NITROGEN PLANT,3 MILES E ON HWY 6,HASTINGS,ADAMS,NE,689020949,40.585833,98.305833
49058HSTNG1220W,VIATEC INC,1220 W STATE ST,HASTINGS,BARRY,MI,49058,42.648772,85.305805
28722HTCHPHIGHW,HATCH PLANT,HWY 108,COLUMBUS,POLK,NC,287220637,35.258333,82.1875
